"","filename","sti","ai","pi","min_ess"
"1","toy_example_1.RDa",1,1,1,5.73055727435953
"2","toy_example_1.RDa",2,1,1,4.15281611992549
"3","toy_example_2.RDa",1,1,1,3.79302147165032
"4","toy_example_2.RDa",2,1,1,5.23994088591438
"5","toy_example_3.RDa",1,1,1,3.02828691830132
"6","toy_example_3.RDa",1,1,2,6.706757145192
"7","toy_example_3.RDa",1,2,1,4.72129810618253
"8","toy_example_3.RDa",1,2,2,4.01721359689575
"9","toy_example_3.RDa",2,1,1,10.426947898235
"10","toy_example_3.RDa",2,1,2,3.66582119235166
"11","toy_example_3.RDa",2,2,1,11
"12","toy_example_3.RDa",2,2,2,11
"13","toy_example_4.RDa",1,1,1,5.47054655949596
"14","toy_example_4.RDa",1,1,2,2.8259834297157
"15","toy_example_4.RDa",1,2,1,4.58408129468533
"16","toy_example_4.RDa",1,2,2,7.88116315127056
"17","toy_example_4.RDa",2,1,1,2.52291448284229
"18","toy_example_4.RDa",2,1,2,3.81237972475612
"19","toy_example_4.RDa",2,2,1,5.73470724292006
"20","toy_example_4.RDa",2,2,2,3.31781132951047
