"","filename","n_alignments"
"1","article_0_0_0_0_0.RDa",4
"2","article_0_0_0_0_1.RDa",4
"3","article_0_0_0_1_0.RDa",4
"4","article_0_0_0_1_1.RDa",4
"5","article_0_0_0_2_0.RDa",4
"6","article_0_0_0_2_1.RDa",4
"7","article_0_0_1_0_0.RDa",4
"8","article_0_0_1_0_1.RDa",4
"9","article_0_0_1_1_0.RDa",4
"10","article_0_0_1_1_1.RDa",4
"11","article_0_0_1_2_0.RDa",4
"12","article_0_0_1_2_1.RDa",4
"13","article_0_0_2_0_0.RDa",4
"14","article_0_0_2_0_1.RDa",4
"15","article_0_0_2_1_0.RDa",4
"16","article_0_0_2_1_1.RDa",4
"17","article_0_0_2_2_0.RDa",4
"18","article_0_0_2_2_1.RDa",4
"19","article_0_1_0_0_0.RDa",4
"20","article_0_1_0_0_1.RDa",4
"21","article_0_1_0_1_0.RDa",4
"22","article_0_1_0_1_1.RDa",4
"23","article_0_1_0_2_0.RDa",4
"24","article_0_1_0_2_1.RDa",4
"25","article_0_1_1_0_0.RDa",4
"26","article_0_1_1_0_1.RDa",4
"27","article_0_1_1_1_0.RDa",4
"28","article_0_1_1_1_1.RDa",4
"29","article_0_1_1_2_0.RDa",4
"30","article_0_1_1_2_1.RDa",4
"31","article_0_1_2_0_0.RDa",4
"32","article_0_1_2_0_1.RDa",4
"33","article_0_1_2_1_0.RDa",4
"34","article_0_1_2_1_1.RDa",4
"35","article_0_1_2_2_0.RDa",4
"36","article_0_1_2_2_1.RDa",4
"37","article_0_2_0_0_0.RDa",4
"38","article_0_2_0_0_1.RDa",4
"39","article_0_2_0_1_0.RDa",4
"40","article_0_2_0_1_1.RDa",4
"41","article_0_2_0_2_0.RDa",4
"42","article_0_2_0_2_1.RDa",4
"43","article_0_2_1_0_0.RDa",4
"44","article_0_2_1_0_1.RDa",4
"45","article_0_2_1_1_0.RDa",4
"46","article_0_2_1_1_1.RDa",4
"47","article_0_2_1_2_0.RDa",4
"48","article_0_2_1_2_1.RDa",4
"49","article_0_2_2_0_0.RDa",4
"50","article_0_2_2_0_1.RDa",4
"51","article_0_2_2_1_0.RDa",4
"52","article_0_2_2_1_1.RDa",4
"53","article_0_2_2_2_0.RDa",4
"54","article_0_2_2_2_1.RDa",4
"55","article_0_3_0_0_0.RDa",4
"56","article_0_3_0_0_1.RDa",4
"57","article_0_3_0_1_0.RDa",4
"58","article_0_3_0_1_1.RDa",4
"59","article_0_3_0_2_0.RDa",4
"60","article_0_3_0_2_1.RDa",4
"61","article_0_3_1_0_0.RDa",4
"62","article_0_3_1_0_1.RDa",4
"63","article_0_3_1_1_0.RDa",4
"64","article_0_3_1_1_1.RDa",4
"65","article_0_3_1_2_0.RDa",4
"66","article_0_3_1_2_1.RDa",4
"67","article_0_3_2_0_0.RDa",4
"68","article_0_3_2_0_1.RDa",4
"69","article_0_3_2_1_0.RDa",4
"70","article_0_3_2_1_1.RDa",4
"71","article_0_3_2_2_0.RDa",4
"72","article_0_3_2_2_1.RDa",4
"73","article_1_0_0_0_0.RDa",4
"74","article_1_0_0_0_1.RDa",4
"75","article_1_0_0_1_0.RDa",4
"76","article_1_0_0_1_1.RDa",4
"77","article_1_0_0_2_0.RDa",4
"78","article_1_0_0_2_1.RDa",4
"79","article_1_0_1_0_0.RDa",4
"80","article_1_0_1_0_1.RDa",4
"81","article_1_0_1_1_0.RDa",4
"82","article_1_0_1_1_1.RDa",4
"83","article_1_0_1_2_0.RDa",4
"84","article_1_0_1_2_1.RDa",4
"85","article_1_0_2_0_0.RDa",4
"86","article_1_0_2_0_1.RDa",4
"87","article_1_0_2_1_0.RDa",4
"88","article_1_0_2_1_1.RDa",4
"89","article_1_0_2_2_0.RDa",4
"90","article_1_0_2_2_1.RDa",4
"91","article_1_0_3_0_0.RDa",4
"92","article_1_0_3_0_1.RDa",4
"93","article_1_0_3_1_0.RDa",4
"94","article_1_0_3_1_1.RDa",4
"95","article_1_0_3_2_0.RDa",4
"96","article_1_0_3_2_1.RDa",4
"97","article_1_1_0_0_0.RDa",4
"98","article_1_1_0_0_1.RDa",4
"99","article_1_1_0_1_0.RDa",4
"100","article_1_1_0_1_1.RDa",4
"101","article_1_1_0_2_0.RDa",4
"102","article_1_1_0_2_1.RDa",4
"103","article_1_1_1_0_0.RDa",4
"104","article_1_1_1_0_1.RDa",4
"105","article_1_1_1_1_0.RDa",4
"106","article_1_1_1_1_1.RDa",4
"107","article_1_1_1_2_0.RDa",4
"108","article_1_1_1_2_1.RDa",4
"109","article_1_1_2_0_0.RDa",4
"110","article_1_1_2_0_1.RDa",4
"111","article_1_1_2_1_0.RDa",4
"112","article_1_1_2_1_1.RDa",4
"113","article_1_1_2_2_0.RDa",4
"114","article_1_1_2_2_1.RDa",4
"115","article_1_1_3_0_0.RDa",4
"116","article_1_1_3_0_1.RDa",4
"117","article_1_1_3_1_0.RDa",4
"118","article_1_1_3_1_1.RDa",4
"119","article_1_1_3_2_0.RDa",4
"120","article_1_1_3_2_1.RDa",4
"121","article_1_2_0_0_0.RDa",4
"122","article_1_2_0_0_1.RDa",4
"123","article_1_2_0_1_0.RDa",4
"124","article_1_2_0_1_1.RDa",4
"125","article_1_2_0_2_0.RDa",4
"126","article_1_2_0_2_1.RDa",4
"127","article_1_2_1_0_0.RDa",4
"128","article_1_2_1_0_1.RDa",4
"129","article_1_2_1_1_0.RDa",4
"130","article_1_2_1_1_1.RDa",4
"131","article_1_2_1_2_0.RDa",4
"132","article_1_2_1_2_1.RDa",4
"133","article_1_2_2_0_0.RDa",4
"134","article_1_2_2_0_1.RDa",4
"135","article_1_2_2_1_0.RDa",4
"136","article_1_2_2_1_1.RDa",4
"137","article_1_2_2_2_0.RDa",4
"138","article_1_2_2_2_1.RDa",4
"139","article_1_2_3_0_0.RDa",4
"140","article_1_2_3_0_1.RDa",4
"141","article_1_2_3_1_0.RDa",4
"142","article_1_2_3_1_1.RDa",4
"143","article_1_2_3_2_0.RDa",4
"144","article_1_2_3_2_1.RDa",4
"145","article_1_3_0_0_0.RDa",4
"146","article_1_3_0_0_1.RDa",4
"147","article_1_3_0_1_0.RDa",4
"148","article_1_3_0_1_1.RDa",4
"149","article_1_3_0_2_0.RDa",4
"150","article_1_3_0_2_1.RDa",4
"151","article_1_3_1_0_0.RDa",4
"152","article_1_3_1_0_1.RDa",4
"153","article_1_3_1_1_0.RDa",4
"154","article_1_3_1_1_1.RDa",4
"155","article_1_3_1_2_0.RDa",4
"156","article_1_3_1_2_1.RDa",4
"157","article_1_3_2_0_0.RDa",4
"158","article_1_3_2_0_1.RDa",4
"159","article_1_3_2_1_0.RDa",4
"160","article_1_3_2_1_1.RDa",4
"161","article_1_3_2_2_0.RDa",4
"162","article_1_3_2_2_1.RDa",4
"163","article_1_3_3_0_0.RDa",4
"164","article_1_3_3_0_1.RDa",4
"165","article_1_3_3_1_0.RDa",4
"166","article_1_3_3_1_1.RDa",4
"167","article_1_3_3_2_0.RDa",4
"168","article_1_3_3_2_1.RDa",4
