"","filenames","species_tree","t","nltt"
"1","toy_example_1.RDa",1,0,0.03125
"2","toy_example_1.RDa",1,0.1,0.0625
"3","toy_example_1.RDa",1,0.2,0.09375
"4","toy_example_1.RDa",1,0.3,0.09375
"5","toy_example_1.RDa",1,0.4,0.125
"6","toy_example_1.RDa",1,0.5,0.15625
"7","toy_example_1.RDa",1,0.6,0.1875
"8","toy_example_1.RDa",1,0.7,0.21875
"9","toy_example_1.RDa",1,0.8,0.25
"10","toy_example_1.RDa",1,0.9,0.28125
"11","toy_example_1.RDa",1,1,0.3125
"12","toy_example_1.RDa",2,0,0.03125
"13","toy_example_1.RDa",2,0.1,0.0625
"14","toy_example_1.RDa",2,0.2,0.09375
"15","toy_example_1.RDa",2,0.3,0.09375
"16","toy_example_1.RDa",2,0.4,0.125
"17","toy_example_1.RDa",2,0.5,0.15625
"18","toy_example_1.RDa",2,0.6,0.1875
"19","toy_example_1.RDa",2,0.7,0.21875
"20","toy_example_1.RDa",2,0.8,0.25
"21","toy_example_1.RDa",2,0.9,0.28125
"22","toy_example_1.RDa",2,1,0.3125
"23","toy_example_2.RDa",1,0,0.0833333333333333
"24","toy_example_2.RDa",1,0.1,0.166666666666667
"25","toy_example_2.RDa",1,0.2,0.25
"26","toy_example_2.RDa",1,0.3,0.333333333333333
"27","toy_example_2.RDa",1,0.4,0.416666666666667
"28","toy_example_2.RDa",1,0.5,0.5
"29","toy_example_2.RDa",1,0.6,0.583333333333333
"30","toy_example_2.RDa",1,0.7,0.666666666666667
"31","toy_example_2.RDa",1,0.8,0.75
"32","toy_example_2.RDa",1,0.9,0.833333333333333
"33","toy_example_2.RDa",1,1,0.916666666666667
"34","toy_example_2.RDa",2,0,0.0833333333333333
"35","toy_example_2.RDa",2,0.1,0.166666666666667
"36","toy_example_2.RDa",2,0.2,0.25
"37","toy_example_2.RDa",2,0.3,0.333333333333333
"38","toy_example_2.RDa",2,0.4,0.416666666666667
"39","toy_example_2.RDa",2,0.5,0.5
"40","toy_example_2.RDa",2,0.6,0.583333333333333
"41","toy_example_2.RDa",2,0.7,0.666666666666667
"42","toy_example_2.RDa",2,0.8,0.75
"43","toy_example_2.RDa",2,0.9,0.833333333333333
"44","toy_example_2.RDa",2,1,0.916666666666667
"45","toy_example_3.RDa",1,0,0.0285714285714286
"46","toy_example_3.RDa",1,0.1,0.0571428571428571
"47","toy_example_3.RDa",1,0.2,0.0857142857142857
"48","toy_example_3.RDa",1,0.3,0.114285714285714
"49","toy_example_3.RDa",1,0.4,0.142857142857143
"50","toy_example_3.RDa",1,0.5,0.171428571428571
"51","toy_example_3.RDa",1,0.6,0.2
"52","toy_example_3.RDa",1,0.7,0.228571428571429
"53","toy_example_3.RDa",1,0.8,0.257142857142857
"54","toy_example_3.RDa",1,0.9,0.285714285714286
"55","toy_example_3.RDa",1,1,0.314285714285714
"56","toy_example_3.RDa",2,0,0.0285714285714286
"57","toy_example_3.RDa",2,0.1,0.0571428571428571
"58","toy_example_3.RDa",2,0.2,0.0857142857142857
"59","toy_example_3.RDa",2,0.3,0.114285714285714
"60","toy_example_3.RDa",2,0.4,0.142857142857143
"61","toy_example_3.RDa",2,0.5,0.171428571428571
"62","toy_example_3.RDa",2,0.6,0.2
"63","toy_example_3.RDa",2,0.7,0.228571428571429
"64","toy_example_3.RDa",2,0.8,0.257142857142857
"65","toy_example_3.RDa",2,0.9,0.285714285714286
"66","toy_example_3.RDa",2,1,0.314285714285714
"67","toy_example_4.RDa",1,0,0.666666666666667
"68","toy_example_4.RDa",1,0.1,0.666666666666667
"69","toy_example_4.RDa",1,0.2,0.666666666666667
"70","toy_example_4.RDa",1,0.3,0.666666666666667
"71","toy_example_4.RDa",1,0.4,0.666666666666667
"72","toy_example_4.RDa",1,0.5,0.666666666666667
"73","toy_example_4.RDa",1,0.6,0.666666666666667
"74","toy_example_4.RDa",1,0.7,0.666666666666667
"75","toy_example_4.RDa",1,0.8,1
"76","toy_example_4.RDa",1,0.9,1
"77","toy_example_4.RDa",1,1,1
"78","toy_example_4.RDa",2,0,0.333333333333333
"79","toy_example_4.RDa",2,0.1,0.666666666666667
"80","toy_example_4.RDa",2,0.2,0.666666666666667
"81","toy_example_4.RDa",2,0.3,0.666666666666667
"82","toy_example_4.RDa",2,0.4,0.666666666666667
"83","toy_example_4.RDa",2,0.5,0.666666666666667
"84","toy_example_4.RDa",2,0.6,0.666666666666667
"85","toy_example_4.RDa",2,0.7,1
"86","toy_example_4.RDa",2,0.8,1
"87","toy_example_4.RDa",2,0.9,1
"88","toy_example_4.RDa",2,1,1
